"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-09","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-10","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-11","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-12","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-13","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-14","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-15","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-16","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-17","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-18","0.11",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-19","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-20","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-21","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-22","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-23","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-24","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-25","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-04-26","0.00",",,E","0.0",",,E",,,,
